Artist,Title,Release Date,Price,Status 
John Vanderslice,Time Travel Is Lonely [LP] - VINYL,12/08/2009 ,16.99,Sold Out
James Brown,Night Train: Instrumentals [Red Vinyl] [LP] - VINYL,11/25/2016 ,19.99,Sold Out
Ford Pier Vengeance Trio,Huzzah! [LP] - VINYL,07/22/2013 ,23.99,Sold Out
Sunn O))),Life Metal [LP] - VINYL,04/13/2019 ,29.99,Sold Out
Hawthorne Heights,If Only You Were Lonely [LP] - VINYL,10/02/2015 ,12.99,Sold Out
Venom,Canadian Assault [LP] - VINYL,11/24/2017 ,29.99,Check Stores
Omid & Sach,5th Ave Instros [LP] - VINYL,01/09/2014 ,10.99,Sold Out
LBB,Popped Music [LP] - VINYL,06/14/2019 ,29.99,Sold Out
Maher Shalal Hash Baz,L' Autre Cap [LP] - VINYL,01/23/2007 ,14.99,Sold Out
Fauve,150.900 [LP] - VINYL,02/03/2014 ,47.99,Sold Out
Oh Mercy,When We Talk About Love [LP] - VINYL,07/10/2015 ,47.99,Sold Out
The Wild,Dreams Are Maps [LP] - VINYL,05/21/2013 ,14.99,Sold Out
Reverse,Museum [LP] - VINYL,04/07/2017 ,29.99,Sold Out
Tom Holkenborg,Deadpool [Original Soundtrack] [LP] - VINYL,06/29/2016 ,32.99,Sold Out
Manuel De Sica,Dellamorte Dellamore [Original Motion Picture Soundtrack] [LP] - VINYL,01/22/2016 ,47.99,Sold Out
Connect_icut,Crows & Kittiwakes Wheel & Come Again [LP] - VINYL,12/10/2013 ,29.99,Sold Out
Television,Live At The Old Waldorf (San Francisco 6/29/78) - VINYL,07/04/2017 ,34.99,Sold Out
Kevin Gates,Islah [LP] - VINYL,06/03/2016 ,26.99,Sold Out
Various Artists,Confessin' the Blues [Limited Edition Deluxe Version] [LP] - VINYL,11/09/2018 ,69.99,Sold Out
Triosphere,The  Road Less Travelled [LP] - VINYL,11/30/2018 ,39.99,Sold Out
Various Artists,"Big Band Era, Vol. 10 [LP] - VINYL",03/24/2015 ,12.99,Sold Out
Porcupine Tree,Up the Downstair [LP] - VINYL,07/21/2017 ,29.99,Sold Out
Anna Coogan,The  Lonely Cry of Space & Time [LP] - VINYL,10/06/2017 ,22.99,Sold Out
Chicho Sanchez Ferlosio,A Contratiempo [LP] - VINYL,03/31/2017 ,23.99,Sold Out
John Coltrane,Lush Life [Bonus Track] [180g Vinyl] [LP] - VINYL,12/02/2014 ,14.99,Sold Out
Bury Tomorrow,Runes [LP] - VINYL,07/29/2014 ,47.99,Sold Out
Original Soundtrack,Deutschland '83 [Original TV Soundtrack] [LP] - VINYL,12/04/2015 ,47.99,Sold Out
Brian Eno,Lux [LP] - VINYL,11/27/2012 ,23.99,Sold Out
AFI,Burials [LP] - VINYL,07/09/2019 ,22.99,Sold Out
Attan,End Of. [LP] - VINYL,09/14/2018 ,23.99,Sold Out
Viers,Freesia [LP] - VINYL,09/18/2015 ,34.99,Sold Out
Digitalism,DJ-Kicks [LP] - VINYL,07/10/2012 ,22.99,Sold Out
Wolvespirit,Free [LP] - VINYL,08/14/2015 ,39.99,Sold Out
Orden Ogan,Easton Hope [Black] [Limited Edition] [LP] - VINYL,07/22/2014 ,23.99,Sold Out
Bo Candy and His Broken Hearts,Bo Candy & His Broken Hearts [LP] - VINYL,05/08/2012 ,36.99,Sold Out
High-Tails,Slight Hi [LP] - VINYL,10/20/2017 ,47.99,Sold Out
Kenny Dorham,Quiet Kenny [LP] - VINYL,02/24/2017 ,39.99,Sold Out
Vaudou Game,Otodi [LP] - VINYL,11/09/2018 ,29.99,Sold Out
Santigold,Santogold [LP] - VINYL,09/23/2008 ,17.99,Sold Out
Tetragon,Nature [LP] - VINYL,05/11/2018 ,39.99,Sold Out
Latterman,No Matter Where We Go [LP] - VINYL,10/18/2011 ,19.99,Sold Out
Alex Chilton,"Live at the Ocean Club,  NYC 1977  [LP] - VINYL",06/02/2015 ,27.99,Sold Out
Minus the Bear,Infinity Overhead [LP] - VINYL,09/11/2012 ,39.99,Sold Out
Little Walter,Boom Boom [LP] - VINYL,09/09/2016 ,22.99,Sold Out
Colours of Infinity,Colours of Infinity [LP] - VINYL,08/04/2017 ,29.99,Sold Out
Holy Grail,Ride the Void [LP] - VINYL,01/29/2013 ,47.99,Sold Out
Ruby Andrews,Everybody Saw You [LP] - VINYL,12/10/2018 ,29.99,Sold Out
Janek Schaefer,Inner Space Memorial in Wonderland [LP] - VINYL,12/02/2014 ,19.99,Sold Out
Rancid,Rancid [Limited Edition Orange Vinyl] [LP] - VINYL,01/28/2014 ,19.99,Sold Out
Severe Torture,Feasting on Blood [LP] - VINYL,09/25/2015 ,34.99,Sold Out
Elkhorn,Sun Cycle/Elk Jam [LP] - VINYL,07/05/2019 ,34.99,Sold Out
Johnny Cash,Folsom Prison Blues [Wagram] [LP] - VINYL,09/15/2017 ,14.99,Sold Out
Protector,Golem [Bone Vinyl] [LP] - VINYL,06/23/2017 ,39.99,Sold Out
Pain of Salvation,Scarsick [LP] - VINYL,11/17/2017 ,34.99,Sold Out
Abd Al Malik,Scarification [LP] - VINYL,11/20/2015 ,47.99,Sold Out
Dispatch,Four Day Trials [Limited Edition] [LP] - VINYL,01/24/2012 ,17.99,Sold Out
Frank Boeijen,Het Mooiste & Het Beste [LP] - VINYL,10/28/2016 ,39.99,Sold Out
Mind Spiders,The Mind Spiders [LP] - VINYL,02/08/2011 ,19.99,Sold Out
The Andrews Sisters,Rum and Coca-Cola [Wagram] [LP] - VINYL,06/15/2018 ,12.99,Sold Out
Goodbye Diana,Goodbye Diana [LP] - VINYL,04/21/2015 ,32.99,Sold Out
Pedro Y Pablo,Yo Vivo en Esta Ciudad [LP] - VINYL,04/21/2017 ,39.99,Sold Out
Various Artists,The  Rough Guide to Gospel Blues [LP] - VINYL,06/30/2017 ,19.99,Sold Out
Johnny Cash,The Fabulous Johnny Cash [LP] - VINYL,02/12/2013 ,29.99,Sold Out
Darkthrone,Soulside Journey [LP] - VINYL,07/16/2013 ,23.99,Sold Out
Drudkh,Autumn Aurora [LP] - VINYL,07/13/2010 ,22.99,Sold Out
Hank Williams III,Take as Needed for Pain [LP] - VINYL,04/14/2015 ,19.99,Sold Out
The Blendours,No Respect [LP] - VINYL,06/09/2017 ,12.99,Sold Out
Renato Zero,Zerofobia [LP] - VINYL,11/20/2012 ,22.99,Sold Out
Toundra,Vortex [LP] - VINYL,05/18/2018 ,39.99,Sold Out
Catskills,Catskills Records: 20 Years of Victory [LP] - VINYL,11/25/2016 ,32.99,Sold Out
Professor Brian Oblivion,"Dissertation, Vol. 1 [LP] - VINYL",09/04/2015 ,23.99,Sold Out
John Coltrane,My Favorite Things [LP] - VINYL,02/16/2018 ,19.99,Sold Out
Pounds,Heavy Lies the Crown [LP] - VINYL,02/08/2019 ,39.99,Sold Out
Naomi Shelton,Cold World [LP] - VINYL,07/29/2014 ,16.99,Sold Out
Frida,Frida [LP] - VINYL,05/05/2017 ,34.99,Sold Out
Knut Skodvin,Kondens [LP] - VINYL,05/17/2019 ,39.99,Sold Out
Stoney LaRue,Velvet [LP] - VINYL,08/30/2011 ,16.99,Sold Out
Colleen,Colleen et les Boites a Musique [LP] - VINYL,10/06/2017 ,19.99,Sold Out
Rotting Christ,Rituals [Clear Vinyl] [LP] - VINYL,02/19/2016 ,58.99,Sold Out
Bob Dylan,BRINGING IT ALL BACK HOME (LIMITED EDITI,01/08/2013 ,58.99,Sold Out
Suede,Coming Up [LP] - VINYL,02/25/2014 ,29.99,Sold Out
Ernst Molden,So a Scheena Dog [LP] - VINYL,06/01/2012 ,23.99,Sold Out
Sister,Disguised Vultures [Colored Vinyl] [LP] - VINYL,02/04/2014 ,23.99,Sold Out
Brooke Miller,Familiar [LP] - VINYL,06/26/2012 ,58.99,Sold Out
Marduk,Warschau [LP] - VINYL,02/16/2018 ,36.99,Sold Out
Franco Battiato,Mondi Lontanissimi [LP] - VINYL,03/23/2018 ,39.99,Sold Out
Outrageous Cherry,DIGITAL AGE (DLCD),11/04/2014 ,19.99,Sold Out
Blind Willie Johnson,Sweeter as the Years Go By [LP] - VINYL,01/01/2013 ,22.99,Sold Out
Rose Tattoo,On Air in '81: Live at the BBC & Other Transmissions [LP] - VINYL,12/07/2018 ,47.99,Sold Out
NOFX,45 or 46 Songs That Weren't Good Enough to Go on Our Other Records [LP] [PA],05/21/2002 Parental Advisory,14.99,Sold Out
Heaven & Earth,Hard to Kill [LP] - VINYL,10/06/2017 ,23.99,Sold Out
Harry Belafonte,Day-O [Wagram] [LP] - VINYL,03/23/2018 ,23.99,Sold Out
Clouds Collide,They Don't Sleep Anymore [LP] - VINYL,08/02/2019 ,29.99,Sold Out
Ex-Cult,Midnight Passenger [LP] - VINYL,05/20/2014 ,19.99,Sold Out
Blackfield,Welcome to My DNA [LP] - VINYL,04/19/2011 ,19.99,Sold Out
Clifford Jordan,Clifford Jordan & The Magic Triangle [LP] - VINYL,09/15/2017 ,27.99,Sold Out
Rivers of Sound,Not Two [LP] - VINYL,06/16/2017 ,27.99,Sold Out
Le Couleur,Dolce Desir [LP] - VINYL,02/17/2015 ,23.99,Sold Out
Whiplash,Power & Pain [LP] - VINYL,06/08/2018 ,22.99,Sold Out
Beale Street Saturday Night,Beale Street Saturday Night [LP] - VINYL,04/14/2015 ,19.99,Sold Out
EZ3kiel,Naphtaline [LP] - VINYL,02/10/2015 ,39.99,Sold Out
HammerFall,Glory to the Brave [20th Anniversary Edition] [LP] - VINYL,12/22/2017 ,29.99,Sold Out
Necronomicon Beast,Sowers of Discord [LP] - VINYL,06/11/2013 ,29.99,Sold Out
Doro,Forever Warriors/Forever United [LP] - VINYL,08/24/2018 ,99.99,Sold Out
Shoes This High,Straight to Hell [LP] - VINYL,01/21/2014 ,19.99,Sold Out
King Dude,Music to Make War To [LP] - VINYL,09/14/2018 ,39.99,Sold Out
Talco,10 Years [LP] - VINYL,07/22/2014 ,32.99,Sold Out
Various Artists,Rock Legends/Led Zeppelin [LP] - VINYL,06/03/2014 ,47.99,Sold Out
Sodastream,Little By Little [LP] - VINYL,03/10/2017 ,22.99,Sold Out
Bala Miller & The Great Music Pirameeds Of Afrika,Pyramids [LP] - VINYL,02/03/2017 ,29.99,Sold Out
Various Artists,Rewind! 5 [LP] - VINYL,04/11/2006 ,4.99,Sold Out
Supersystem,Born Into the World [LP] - VINYL,02/22/2005 ,4.99,Sold Out
!!!,Take Ecstacy with Me/Get Up [LP] - VINYL,06/07/2005 ,4.99,Sold Out
DJ Harry,Wake Up (Gavin Hardkiss Remixes) [LP] - VINYL,01/01/2002 ,4.99,Sold Out
Dirty Sanchez,"Really Rich Italian Satanists [US 12""] [LP] - VINYL",01/06/2004 ,4.99,Sold Out
!!!,Hello? Is This Thing On? [LP] - VINYL,07/27/2004 ,4.99,Sold Out
Feel-X,What We Want [LP] - VINYL,01/16/2001 ,4.99,Sold Out
Rhythm Control,The Hard Trance EP [LP] - VINYL,12/25/1999 ,5.99,Sold Out
Jb3,Forklift [LP] - VINYL,11/19/1996 ,5.99,Sold Out
Stars as Eyes,Enemy of Fun [LP] - VINYL,10/22/2002 ,5.99,Sold Out
Ville Leinonen,Alive II [LP] - VINYL,01/06/2015 ,5.99,Sold Out
Echo Minott,Murder Weapon (Shine The Gun) [LP] - VINYL,12/25/1999 ,5.99,Sold Out
Various Artists,"SMM, Vol. 1 [LP] - VINYL",03/23/2004 ,6.49,Sold Out
Various Artists,"SMM, Vol. 2 [LP] - VINYL",11/02/2004 ,6.49,Sold Out
Kiln,Sunbox [LP] - VINYL,05/18/2004 ,6.49,Sold Out
Young Buffalo,Brain One [LP] - VINYL,12/16/2014 ,6.99,Sold Out
Moving Targets,Fall [LP] - VINYL,12/27/2005 ,6.99,Sold Out
Joywave,How Do You Feel? [LP] - VINYL,06/03/2014 ,6.99,Sold Out
Various Artists,Red Bull Sound Select for Records Store Day No. 1 [LP] - VINYL,11/24/2016 ,6.99,Sold Out
The Maggots,Let's Go in '69/50 Gallon Bladder [LP] - VINYL,03/04/2003 ,6.99,Sold Out
Hypnomen,Altamont Boogaloo/Shake [LP] - VINYL,03/04/2003 ,6.99,Sold Out
Arsenal,Manipulator [LP] - VINYL,08/31/1994 ,6.99,Sold Out
Negative Step,Conquering Punk [LP] - VINYL,01/01/2013 ,6.99,Sold Out
Man Is the Bastard,Our Earth's Blood/A Call for Consciousness [LP] - VINYL,03/10/2015 ,6.99,Sold Out
Black Kali Ma,You Ride the Pony (I'll Be the Bunny) [LP] - VINYL,02/01/2000 ,6.99,Sold Out
Various Artists,Blunt Special Blends [LP] [PA],12/17/1996 Parental Advisory,6.99,Sold Out
Tar,Clincher [LP] - VINYL,02/23/1993 ,6.99,Sold Out
The Last Vegas,Sweet Salvation [LP] - VINYL,11/06/2015 ,6.99,Sold Out
Brody's Militia,Cycle of Hate [LP] - VINYL,03/12/2013 ,6.99,Sold Out
Various Artists,Dance Hall Reggae: A New Beginning [LP] - VINYL,01/01/2003 ,6.99,Sold Out
Brick Layer Cake,Call It a Day [LP] - VINYL,05/29/1992 ,6.99,Sold Out
Ruins,Undercurrent [LP] - VINYL,11/04/2016 ,6.99,Sold Out
Attack Ships on Fire,Double Down Saloon [LP] - VINYL,03/04/2016 ,6.99,Sold Out
Alger Hiss,Settings for Nudes [LP] - VINYL,11/28/1995 ,7.99,Sold Out
Johnny Osbourne,Groovin' [LP] - VINYL,03/05/1992 ,7.99,Sold Out
Bonehunter,Devil Must Be Driven Out With Gism [LP] - VINYL,08/07/2015 ,7.99,Sold Out
Count Counsellor,& The Childhood Heroes [LP] - VINYL,07/24/2015 ,7.99,Sold Out
Johnsons,Break Tomorrow's Day [LP] - VINYL,02/13/2018 ,7.99,Sold Out
Fred Locks,Black Star Liner [LP] - VINYL,04/25/1997 ,7.99,Sold Out
Mum,The Peel Session [LP] - VINYL,02/06/2007 ,7.99,Sold Out
Nada Surf,Karmic [Bonus Track] [LP] - VINYL,06/12/2007 ,7.99,Sold Out
Fluf,Road Rage [LP] - VINYL,08/11/1998 ,7.99,Sold Out
Various Artists,"Bootleg Series, Vol. 1: Up North/Downunder [LP] - VINYL",01/09/2014 ,7.99,Sold Out
Confront James,Chemical Exposure [LP] - VINYL,12/05/1995 ,7.99,Sold Out
The Juan MacLean,Simple Life [LP] - VINYL,09/30/2008 ,7.99,Sold Out
The Helm,Home [LP] - VINYL,11/03/2009 ,7.99,Sold Out
The Elgins,Take the Train [LP] - VINYL,10/10/2013 ,7.99,Sold Out
Various Artists,"Strictly the Best, Vol. 20 [LP] - VINYL",11/18/1997 ,7.99,Sold Out
310,The Dirty Rope [LP] - VINYL,04/20/2004 ,7.99,Sold Out
Sanchez,Best of Sanchez: Back at One [LP] - VINYL,06/05/2001 ,7.99,Sold Out
Red Planet,Revolution 33 [LP] - VINYL,09/19/2000 ,7.99,Sold Out
Various Artists,"Strictly the Best, Vol. 25 [LP] [PA]",11/14/2000 Parental Advisory,7.99,Sold Out
Sylvester,I Need Somebody to Love Tonight [LP] - VINYL,12/07/2018 ,7.99,Sold Out
The Fartz,Injustice: 15 Working Class Songs [LP] - VINYL,06/25/2002 ,7.99,Sold Out
Pete Seeger,Sings Traditional Christmas Carols [LP] - VINYL,08/12/2005 ,7.99,Sold Out
Pitchshifter,Un-United Kingdom [LP] - VINYL,01/01/2008 ,7.99,Sold Out
The Juan MacLean,By the Time I Get to Venus [LP] - VINYL,08/05/2003 ,7.99,Sold Out
Unwed,Raise the Kids [LP] - VINYL,04/28/2015 ,7.99,Sold Out
Radio 4,Gotham! [LP] - VINYL,01/10/2006 ,7.99,Sold Out
Fixtures,Devil's Playground [LP] - VINYL,09/24/1996 ,7.99,Sold Out
The Causey Way,With Loving and Open Arms [LP] - VINYL,10/26/1999 ,7.99,Sold Out
Holy Ghost!,Hold On [LP] - VINYL,08/26/2008 ,7.99,Sold Out
Com.A,One More Story [LP] - VINYL,03/04/2003 ,7.99,Sold Out
Infernos,Rock & Roll Nightmare [LP] - VINYL,03/14/2000 ,7.99,Sold Out
Numbers,"Death Remixes, Vol. 1 [LP] - VINYL",02/04/2003 ,7.99,Sold Out
Radkey,Devil Fruit EP [LP] - VINYL,12/10/2013 ,7.99,Sold Out
The Sermon,Volume [LP] - VINYL,08/24/2004 ,7.99,Sold Out
Be Your Own Pet,Not Rocket Science [LP] - VINYL,09/01/2013 ,7.99,Sold Out
Roy-C,Sex & Soul [Collectables] [LP] - VINYL,04/21/1997 ,7.99,Sold Out
Zella Day,Zella Day - Sweet Ophelia/1965 [LP] - VINYL,05/13/2014 ,7.99,Sold Out
Pickwick,Window Sill (Recall) [LP] - VINYL,05/13/2014 ,7.99,Sold Out
Kill Memory Crash,When the Blood Turns Black [LP] - VINYL,07/01/2003 ,7.99,Sold Out
Various Artists,"Soul Jewels, Vol. 3 [LP] - VINYL",02/15/2011 ,7.99,Sold Out
Dads,I'll Be the Tornado [LP] [PA],10/14/2014 Parental Advisory,7.99,Sold Out
Tool,Opiate [EP] [LP] [PA],09/17/1996 Parental Advisory,8.99,Check Stores
Gates,Parallel Lives [LP] - VINYL,06/03/2016 ,8.99,Sold Out
The Story So Far,Songs Of Story So Far [Acoustic EP] [LP] - VINYL,07/22/2014 ,9.99,Sold Out
Moral Crux,Pop Culture Assassins [LP] - VINYL,07/01/2008 ,9.99,Sold Out
Primitive Calculators,Sick/C**t [LP] - VINYL,07/09/2012 ,9.99,Sold Out
Enchantment,Enchanted Lady [LP] - VINYL,05/15/2012 ,9.99,Sold Out
Just-Ice,Kool & Deadly [LP] - VINYL,06/21/2005 ,9.99,Sold Out
Flotilla,Flotilla [LP] - VINYL,05/17/2013 ,9.99,Sold Out
The Brian Jonestown Massacre,Love [LP] - VINYL,09/29/2009 ,9.99,Sold Out
Starvations,Get Well Soon [LP] - VINYL,11/08/2005 ,9.99,Sold Out
Millions,Gather Scatter [LP] - VINYL,09/29/2009 ,9.99,Sold Out
The Last Vegas,Bad Decisions [LP] - VINYL,11/06/2015 ,9.99,Sold Out
Theophilus London,Timez Are Weird These Nights: Powered by Bing Remixes [LP] - VINYL,06/26/2012 ,9.99,Sold Out
Animal Collective,People [LP] - VINYL,02/20/2007 ,9.99,Sold Out
Leslie West,Soundcheck [LP] - VINYL,12/18/2015 ,9.99,Sold Out
Slave One,Split [LP] - VINYL,08/20/2013 ,9.99,Sold Out
"Son, Ambulance",Euphemystic [LP] - VINYL,09/11/2001 ,9.99,Sold Out
Joe Glazer,Garbage and Other Songs of Our Time [LP] - VINYL,08/12/2014 ,9.99,Sold Out
The Erised,In My Car [LP] - VINYL,11/20/2015 ,9.99,Sold Out
Joe Stampley,20 Greatest Hits [LP] - VINYL,01/17/2019 ,9.99,Sold Out
Peabody & Sherman's Playdate,"Dub Workshop, Vol. 1 [LP] - VINYL",01/30/2014 ,9.99,Sold Out
Tar,Toast [LP] - VINYL,08/30/1993 ,9.99,Sold Out
Splash 4,"Shame, Shame, Shame [LP] - VINYL",10/26/1999 ,9.99,Sold Out
A Grape Dope,Missing Dragons [LP] - VINYL,05/27/2003 ,9.99,Sold Out
Low Threat Profile,Product No. 2 [LP] - VINYL,02/12/2013 ,9.99,Sold Out
Destroyed in Seconds,Becoming Wrath [LP] - VINYL,02/12/2013 ,9.99,Sold Out
Bitch Witch,Bitch Witch [LP] - VINYL,12/09/2014 ,9.99,Sold Out
Huntress,Static [LP] - VINYL,09/25/2015 ,9.99,Sold Out
Christ Killer,Nailed It! [LP] - VINYL,04/21/2015 ,9.99,Sold Out
Dabrye,"Additional Productions, Vol. 1 [LP] - VINYL",11/01/2005 ,9.99,Sold Out
Hollie Cook,Milk & Honey [LP] - VINYL,08/05/2014 ,9.99,Sold Out
Buckwild,Nineteen Ninety Now: The Instrumentals [LP] - VINYL,05/10/2011 ,9.99,Sold Out
The Swellers,Running Out Of Places To Go [LP] - VINYL,10/16/2012 ,9.99,Sold Out
The Mekons,I Love Mekons [LP] - VINYL,10/18/1993 ,9.99,Sold Out
Ed Hall,Love Poke Here [LP] - VINYL,11/08/1994 ,9.99,Sold Out
Victim's Family,Headache Remedy [LP] - VINYL,11/22/2011 ,9.99,Sold Out
Yo,Once in a Blue Moon [LP] - VINYL,11/07/2018 ,9.99,Sold Out
little hurricane,Same Sun Same Moon [180 Gram Vinyl] [Download Card] [LP] - VINYL,04/14/2017 ,9.99,Sold Out
Cake Like,Bruiser Queen [LP] - VINYL,05/20/1997 ,9.99,Sold Out
!!!,Me And Giuliani Down By The Schoolyard [LP] - VINYL,06/03/2003 ,9.99,Sold Out
The Jesus Lizard,Down [LP] - VINYL,08/29/1994 ,9.99,Sold Out
Matthew Dear,Deserter [LP] - VINYL,05/08/2007 ,9.99,Sold Out
Figures,In a Chalk Circle [LP] - VINYL,02/13/2018 ,9.99,Sold Out
Various Artists,"Universal Message, Vol. 3 [LP] - VINYL",02/15/2005 ,9.99,Sold Out
The Triple Threat Three,M.P.G. Rap [LP] - VINYL,08/16/2016 ,9.99,Sold Out
Leslie West,Still Climbing [LP] - VINYL,10/29/2013 ,9.99,Sold Out
The Flaming Lips,Imagene Peise: Atlas Eets Christmas [LP] - VINYL,10/23/2015 ,9.99,Sold Out
Steel Pole Bath Tub,Butterfly Love [LP] - VINYL,11/08/1994 ,9.99,Sold Out
Boulder,Ravage and Savage [LP] - VINYL,06/27/2000 ,9.99,Sold Out
Ani DiFranco,Little Plastic Remixes [LP] - VINYL,11/27/2012 ,9.99,Sold Out
The Juan MacLean,Feel Like Movin/We Got a Love [LP] - VINYL,09/10/2013 ,9.99,Sold Out
Bastard Noise,Skulldozer [LP] - VINYL,02/12/2013 ,9.99,Sold Out
Urge Overkill,The Supersonic Storybook [LP] - VINYL,09/19/1995 ,9.99,Sold Out
Ed Hall,Albert [LP] - VINYL,05/09/1994 ,9.99,Sold Out
Oxygen,Gone Diggin [LP] - VINYL,04/09/2013 ,9.99,Sold Out
Hawg Jaw,Believe Nothing [LP] - VINYL,02/12/2013 ,9.99,Sold Out
BoDeans,Indigo Dreams [LP] - VINYL,08/30/2011 ,9.99,Sold Out
Syncopation,Syncopation/Gogogoairheart [Split CD] [LP] - VINYL,07/13/1999 ,9.99,Sold Out
Afgrund,The Age of Dumb [LP] - VINYL,02/12/2013 ,9.99,Sold Out
Arcwelder,Pull [LP] - VINYL,02/23/1993 ,9.99,Sold Out
The Delta 72,The R&B of Membership [LP] - VINYL,07/09/1996 ,9.99,Sold Out
Alpheus,Good Prevails [LP] - VINYL,08/11/2017 ,9.99,Sold Out
Metamono,Tape [LP] - VINYL,05/17/2013 ,9.99,Sold Out
Doctors' Mob,Sophomore Slump [LP] - VINYL,03/13/2018 ,9.99,Sold Out
Heart to Heart,Dulce [LP] - VINYL,07/08/2014 ,9.99,Sold Out
Beneath the Massacre,Dystopia [LP] - VINYL,12/28/2010 ,9.99,Sold Out
At the Drive-In,Diamante (10in) (Colv) (Rex) (Dlcd) - VINYL,11/23/2017 ,9.99,Sold Out
Liars,No. 1 Against the Rush [LP] - VINYL,06/05/2012 ,9.99,Sold Out
Clone Defects,Shapes of Venus [LP] - VINYL,03/04/2003 ,9.99,Sold Out
Pegboy,Earwig [LP] - VINYL,10/03/1994 ,9.99,Sold Out
Out of Vogue,The Welfare Year [LP] - VINYL,01/09/2014 ,9.99,Sold Out
Man or Astro-man?,Made From Technetium [LP] - VINYL,09/09/1997 ,9.99,Sold Out
Sun Seeker,Biddeford [LP] - VINYL,07/14/2017 ,9.99,Sold Out
The Fuse!,The Fisherman's Wife [LP] - VINYL,11/11/2003 ,9.99,Sold Out
Factory Floor,Fall Back [LP] - VINYL,02/05/2013 ,9.99,Sold Out
Bastard Noise,A Culture of Monsters [LP] - VINYL,02/12/2013 ,9.99,Sold Out
Gyptian,My Name Is Gyptian [LP] - VINYL,08/29/2006 ,9.99,Sold Out
Tokyo Ghetto Pussy,Ev'rybody on the Floor (Pump It) [Remixes] [LP] - VINYL,04/14/2015 ,9.99,Sold Out
Alabama,The Touch [LP] - VINYL,07/14/2015 ,9.99,Sold Out
Killdozer,God Hears the Pleas of the Innocent [LP] - VINYL,02/13/1995 ,9.99,Sold Out
Speedball Baby,I'm Gonna Stomp Mr. Harry Lee [LP] - VINYL,03/10/1998 ,9.99,Sold Out
Simon Joyner,"Christine Ep, The [LP] - VINYL",08/04/2005 ,9.99,Sold Out
Joe Louis Walker,Everybody Wants a Piece [LP] - VINYL,10/09/2015 ,9.99,Sold Out
Todd Albright,Detroit Twelve String Blues & Rags [LP] - VINYL,03/10/2017 ,9.99,Sold Out
Ryan Adams,Easy Tiger [LP] [PA],06/26/2007 Parental Advisory,10.99,Sold Out
Stryper,Always There for You [LP] - VINYL,02/22/2011 ,10.99,Sold Out
Black Moon,Enta da Stage [LP] [PA],10/18/1993 Parental Advisory,10.99,Sold Out
MxPx,Panic [LP] - VINYL,01/24/2006 ,10.99,Sold Out
Aphex Twin,MARCHROMT30A Edit 2B 96 [LP] - VINYL,04/07/2015 ,10.99,Sold Out
Camera Shy,Jack-O-Lantern [LP] - VINYL,04/19/2014 ,10.99,Sold Out
RJD2,Dead Ringer [Bonus Tracks] [LP] - VINYL,11/03/2009 ,10.99,Sold Out
"Hank Williams, Jr.",Live (My Name is Bocephus: All My Rowdy Friends) [LP] - VINYL,10/14/2014 ,10.99,Sold Out
Alabama,Live [LP] - VINYL,08/12/2014 ,10.99,Sold Out
Raven,The Pack Is Back [LP] - VINYL,09/16/2014 ,10.99,Sold Out
Toyan,How the West Was Won [LP] - VINYL,07/24/2012 ,10.99,Sold Out
Tragic Mulatto,Chartreuse Toulouse [LP] - VINYL,01/01/2005 ,10.99,Sold Out
Matthew Dear,Headcage [LP] - VINYL,04/21/2012 ,10.99,Sold Out
Vicky Larraz,Earthquake Vinilo Maxi [LP] - VINYL,05/13/2014 ,10.99,Sold Out
The Husbands,Introducing the Sounds Of... [LP] - VINYL,07/01/2003 ,10.99,Sold Out
Steve Earle,Rock It Country Style [LP] - VINYL,03/15/2016 ,10.99,Sold Out
Tal M. Klein,Exhaustasaurus [LP] - VINYL,11/19/2013 ,10.99,Sold Out
Turquoise Jeep,Smang It [LP] - VINYL,11/11/2014 ,10.99,Sold Out
Bill Nelson,Orchestra Arcana: Optimism [LP] - VINYL,01/17/2017 ,10.99,Sold Out
Goon Moon,I Got a Brand New Egg Layin' Machine [LP] - VINYL,06/07/2005 ,10.99,Sold Out
Action Swingers,"Enough Already, Live! [LP] - VINYL",11/11/2014 ,10.99,Sold Out
Essa,The Misadventures of a Middleman [LP] - VINYL,05/05/2014 ,10.99,Sold Out
Caitlin Kraus,Caitlin Kraus [LP] - VINYL,02/01/2019 ,10.99,Sold Out
The Ukrainians,Short History of Rock Music [LP] - VINYL,05/19/2015 ,10.99,Sold Out
Adam Scrimshire,Margie Moves Mountains [LP] - VINYL,06/23/2015 ,10.99,Sold Out
Various Artists,Bumps & Rails [LP] - VINYL,03/04/2008 ,10.99,Sold Out
Graham Nash,Innocent Eyes [LP] - VINYL,09/16/2014 ,10.99,Sold Out
Knights of the New Crusade,A Challenge to the Cowards of Christendom [LP] - VINYL,05/23/2006 ,10.99,Sold Out
The Golden Palominos,Visions of Excess [LP] - VINYL,02/25/2014 ,10.99,Sold Out
Paul van Dyk,Other Side [LP] - VINYL,08/23/2005 ,10.99,Sold Out
Various Artists,Idol Tryouts [LP] - VINYL,05/23/2003 ,10.99,Sold Out
Rank and File,Rank and File [LP] - VINYL,01/17/2017 ,10.99,Sold Out
TJ,Time Is Wasting [LP] - VINYL,09/02/2016 ,10.99,Sold Out
Screamin' Eric,Shake It! [LP] - VINYL,01/09/2014 ,10.99,Sold Out
Eera,Eera [LP] [EP] - VINYL,03/04/2016 ,10.99,Sold Out
